"game_id","turn_number","nickname","rack","location","move","points","score","turn_type"
"EYYkLASE",23,"HAYDEN","AEEPRTU","5H","PEAT",21,249,"Play"
"EYYkLASE",24,"BasicBot","ACERRTW","9K","W..",12,269,"Play"
"EYYkLASE",25,"HAYDEN","DEHIRUY","1N","UH",18,267,"Play"
"EYYkLASE",26,"BasicBot","AACERRT","J2",".A..R",8,277,"Play"
"EYYkLASE",27,"HAYDEN","DEIJKRY","14J","KY",35,302,"Play"
"EYYkLASE",28,"BasicBot","ACEINRT","6C","RETINA",12,289,"Play"
"EYYkLASE",29,"HAYDEN","BDEIJRT","5D","BED",23,325,"Play"
"EYYkLASE",30,"BasicBot","C","I7","C..",8,297,"Play"
"EYYkLASE",31,"BasicBot",NA,NA,"(IJRT)",22,319,"End"
"UPNddsSg",1,"BasicBot","EFIILRT","8D","FLIRT",24,24,"Play"
"UPNddsSg",2,"HAYDEN","?DEEITU","7C","TI",8,8,"Play"
"UPNddsSg",3,"BasicBot","ABEIILR","E8",".ABILE",16,40,"Play"
"UPNddsSg",4,"HAYDEN","?CDEEEU","6A","CUED",18,26,"Play"
"UPNddsSg",5,"BasicBot","AEIORTU","A1","AORTI.",27,67,"Play"
"UPNddsSg",6,"HAYDEN","?AEEEGR","2A",".E",4,30,"Play"
"UPNddsSg",7,"BasicBot","CEEJMNU","11C","JU.CE",14,81,"Play"
"UPNddsSg",8,"HAYDEN","?AEEGOR","9H","OvERAGE",61,91,"Play"
"UPNddsSg",9,"BasicBot","EIMNOTV","C11",".IVE",28,109,"Play"
"UPNddsSg",10,"HAYDEN","AABENNQ","8L","BANE",39,130,"Play"
"UPNddsSg",11,"BasicBot","AELMNOT","J6","MOL.",12,121,"Play"
"UPNddsSg",12,"HAYDEN","ANPQRUV","K5","VAN",18,148,"Play"
"UPNddsSg",13,"BasicBot","?AEGNNT","14B","G.N",8,129,"Play"
"UPNddsSg",14,"HAYDEN","LOOPQRU","15A","PUR",33,181,"Play"
"UPNddsSg",15,"BasicBot","?AENRTX","N6","AN..X",30,159,"Play"
"UPNddsSg",16,"HAYDEN","EILOOOQ","10L","LO.",19,200,"Play"
"UPNddsSg",17,"BasicBot","?EEHRTW","H11","sHREW",56,215,"Play"
"UPNddsSg",18,"HAYDEN","EINOOPQ","O4","QIN",24,224,"Play"
"UPNddsSg",19,"BasicBot","EEFRTTW","C3","TWE..",16,231,"Play"
"UPNddsSg",20,"HAYDEN","ENOOOPS","D2","POO",22,246,"Play"
"UPNddsSg",21,"BasicBot","DEFGKRT","14G","K.RF",19,250,"Play"
"UPNddsSg",22,"HAYDEN","ADENOSS","13G","O.E",15,261,"Play"
"UPNddsSg",23,"BasicBot","ADEGMST","K11","GEMS",26,276,"Play"
"UPNddsSg",24,"HAYDEN","ADINOSS","L12","DI",16,277,"Play"
"UPNddsSg",25,"BasicBot","ADDIITZ","H5","DIT..",6,282,"Play"
"UPNddsSg",26,"HAYDEN","ANOSSUY","E1","NAY",16,293,"Play"
"UPNddsSg",27,"BasicBot","ADHITYZ","M13","DAH",26,308,"Play"
"UPNddsSg",28,"HAYDEN","AOSSSU","15M",".AS",18,311,"Play"
"UPNddsSg",29,"BasicBot","ITYZ","G4","ZIT",17,325,"Play"
"UPNddsSg",30,"HAYDEN","OSSU","1E",".OUS",12,323,"Play"
"UPNddsSg",31,"BasicBot","Y","G10","Y.",5,330,"Play"
"UPNddsSg",32,"BasicBot",NA,NA,"(S)",2,332,"End"
"ReYT72yn",1,"HAYDEN","DELNQUY","8H","NY",10,10,"Play"
"ReYT72yn",2,"BasicBot","EIILRUV","H7","U.VEIL",10,10,"Play"
"ReYT72yn",3,"HAYDEN","DEILQUU","9F","DE.",8,18,"Play"
"ReYT72yn",4,"BasicBot","AAIINOR","12H",".IANA",10,20,"Play"
"ReYT72yn",5,"HAYDEN","EILQRUU","J10","QU.",32,50,"Play"
"ReYT72yn",6,"BasicBot","ACHIJOR","I5","ACH.",25,45,"Play"
"ReYT72yn",7,"HAYDEN","EEILORU","10E","LOR.",13,63,"Play"
"ReYT72yn",8,"BasicBot","AIJNORW","J2","JOIN",29,74,"Play"
"ReYT72yn",9,"HAYDEN","EEHIUUV","G6","EH",22,85,"Play"
"ReYT72yn",10,"BasicBot","AABORTW","F5","OW",26,100,"Play"
"ReYT72yn",11,"HAYDEN","EILUUVX","5D","EV.",12,97,"Play"
"ReYT72yn",12,"BasicBot","AABIRTT","3E","ABATT.IR",62,162,"Play"
"ReYT72yn",13,"HAYDEN","DIKLUUX","H1","KI.",21,118,"Play"
"ReYT72yn",14,"BasicBot","?AGMMRZ","D4","G.RM",14,176,"Play"
"ReYT72yn",15,"HAYDEN","DLTTUUX","13L","LUX",22,140,"Play"
"ReYT72yn",16,"BasicBot","?AIMOWZ","L1","WA.M",26,202,"Play"
"ReYT72yn",17,"HAYDEN","ADITTTU","1L",".AIT",21,161,"Play"
"ReYT72yn",18,"BasicBot","?INOSTZ","14J","ZIT",35,237,"Play"
"ReYT72yn",19,"HAYDEN","DENPTTU","15F","PUTTED",41,202,"Play"
"ReYT72yn",20,"BasicBot","?DEFNOS","13B","ENFOlDS",84,321,"Play"
"ReYT72yn",21,"HAYDEN","BCEINOR","12B","BIO",26,228,"Play"
"ReYT72yn",22,"BasicBot","?AFGILO","14N","IF",28,349,"Play"
"ReYT72yn",23,"HAYDEN","ACDENNR","O14",".A",15,243,"Play"
"ReYT72yn",24,"BasicBot","?AGLOOS","14A","AG",18,367,"Play"
"ReYT72yn",25,"HAYDEN","CDEGNNR","A14",".N",6,249,"Play"
"ReYT72yn",26,"BasicBot","?ELOOPS","1B","SLOwPO.E",64,431,"Play"
"d85ELzXp",1,"BasicBot","ACILNOT","8D","COITAL",22,22,"Play"
"d85ELzXp",2,"HAYDEN","AEFIRTV","7H","FAVE",19,19,"Play"
"d85ELzXp",3,"BasicBot","BIINPRU","K2","PURIN.",16,38,"Play"
"d85ELzXp",4,"HAYDEN","HILRSST","9D","HIT",17,36,"Play"
"d85ELzXp",5,"BasicBot","ABEIOTU","D3","BIOTE..",28,66,"Play"
"d85ELzXp",6,"HAYDEN","?DELRSS","L7","SLiDERS",77,113,"Play"
"d85ELzXp",7,"BasicBot","AAAEIUU","8L",".UAU",12,78,"Play"
"d85ELzXp",8,"HAYDEN","EELORTW","N6","WE.R",15,128,"Play"
"d85ELzXp",9,"BasicBot","?AAEEIT","3C","A.ATE",16,94,"Play"
"d85ELzXp",10,"HAYDEN","EGLNOOT","2E","NET",13,141,"Play"
"d85ELzXp",11,"BasicBot","?DEIPQU","F6","QU..",33,127,"Play"
"d85ELzXp",12,"HAYDEN","GGLOOOY","K11","YO",22,163,"Play"
"d85ELzXp",13,"BasicBot","?DEEHIP","10F","ED",21,148,"Play"
"d85ELzXp",14,"HAYDEN","GGIKLOO","2B","OK",18,181,"Play"
"d85ELzXp",15,"BasicBot","?CEHIMP","3I","CH.MP",34,182,"Play"
"d85ELzXp",16,"HAYDEN","EGGIILO","J12","LIG",11,192,"Play"
"d85ELzXp",17,"BasicBot","?AEIMSZ","1F","MAZE",53,235,"Play"
"d85ELzXp",18,"HAYDEN","EEGIOVX","5J","G.VE",8,200,"Play"
"d85ELzXp",19,"BasicBot","?AEFINS","10A","FINS",24,259,"Play"
"d85ELzXp",20,"HAYDEN","EGINOTX","A10",".OXING",75,275,"Play"
"d85ELzXp",21,"BasicBot","?AADERY","10L",".AY",34,293,"Play"
"d85ELzXp",22,"HAYDEN","BDEINOT","2J","O.",13,288,"Play"
"d85ELzXp",23,"BasicBot","?ADEEJR","6B","JE.",26,319,"Play"
"d85ELzXp",24,"HAYDEN","BDEILNT","5C","B.D",16,304,"Play"
"d85ELzXp",25,"BasicBot","?ADENRR","15A",".ARDENeR",83,402,"Play"
"d85ELzXp",26,"HAYDEN","EIILNRT","F13","LI.",5,309,"Play"
"d85ELzXp",27,"BasicBot","AOOSW","N1","WAS",27,429,"Play"
"d85ELzXp",28,"HAYDEN","EINRT","O1","ER",23,332,"Play"
"d85ELzXp",29,"BasicBot","OO","13F",".OO",4,433,"Play"
"d85ELzXp",30,"BasicBot",NA,NA,"(INT)",6,439,"End"
"GhQaUA8z",1,"HAYDEN","EMORRTU","H8","TREMOR",18,18,"Play"
"GhQaUA8z",2,"BasicBot","AEILOOP","G5","POLIO",14,14,"Play"
"GhQaUA8z",3,"HAYDEN","?EGNORU","13A","GROUNdE.",68,86,"Play"
"GhQaUA8z",4,"BasicBot","AEINOSV","11H",".OVE",18,32,"Play"
"GhQaUA8z",5,"HAYDEN","?ADEIPU","F4","DUP",26,112,"Play"
"GhQaUA8z",6,"BasicBot","AAINNST","E11","NA.",6,38,"Play"
"GhQaUA8z",7,"HAYDEN","?ADEIIQ","E2","QAID",43,155,"Play"
"GhQaUA8z",8,"BasicBot","AINNSTZ","L8","ZITS",33,71,"Play"
"GhQaUA8z",9,"HAYDEN","?AEEIKO","M7","KA",22,177,"Play"
"GhQaUA8z",10,"BasicBot","AELNNNX","A11","AN.LE",21,92,"Play"
"GhQaUA8z",11,"HAYDEN","?EEIOSU","N4","EUOI",12,189,"Play"
"GhQaUA8z",12,"BasicBot","AFLNNTX","4L","FL.X",44,136,"Play"
"GhQaUA8z",13,"HAYDEN","?ABCERS","3I","RACE",12,201,"Play"
"GhQaUA8z",14,"BasicBot","AAHNNOT","O1","HOA.",42,178,"Play"
"GhQaUA8z",15,"HAYDEN","?BGIJSS","D12","J.G",40,241,"Play"
"GhQaUA8z",16,"BasicBot","ABENNTW","O7","NEW",25,203,"Play"
"GhQaUA8z",17,"HAYDEN","?ABIISS","D3","AB",22,263,"Play"
"GhQaUA8z",18,"BasicBot","ABMNOTV","H1","MOB",30,233,"Play"
"GhQaUA8z",19,"HAYDEN","?DDIISS","B10","DI",9,272,"Play"
"GhQaUA8z",20,"BasicBot","AILNTVY","J2","V.INLY",22,255,"Play"
"GhQaUA8z",21,"HAYDEN","?ADFISS","7I","F.",12,284,"Play"
"GhQaUA8z",22,"BasicBot","AEINTTY","G12","Y.TI",12,267,"Play"
"GhQaUA8z",23,"HAYDEN","?ACDISS","15E","AC.DS",24,308,"Play"
"GhQaUA8z",24,"BasicBot","AEENRST","M1","EAR.",28,295,"Play"
"GhQaUA8z",25,"HAYDEN","?EEEISW","1K","EW.",10,318,"Play"
"GhQaUA8z",26,"BasicBot","ENSTTTU","9D","TUT..",5,300,"Play"
"GhQaUA8z",27,"HAYDEN","?EEGIRS","C4","aEGIS",12,330,"Play"
"GhQaUA8z",28,"BasicBot","EHINST","N9","EH",18,318,"Play"
"GhQaUA8z",29,"HAYDEN","ER","8A","RE.",9,339,"Play"
"GhQaUA8z",30,"HAYDEN",NA,NA,"(INST)",8,347,"End"
"58ZA5vGe",1,"BasicBot","EGHIMRX","8H","REMIX",44,44,"Play"
"58ZA5vGe",2,"HAYDEN","ABEENTU","7I","BATE",31,31,"Play"
"58ZA5vGe",3,"BasicBot","FGHITWY","J6","G..IFY",27,71,"Play"
"58ZA5vGe",4,"HAYDEN","AEKNOUY","K10","YO",28,59,"Play"
"58ZA5vGe",5,"BasicBot","AHMOTWZ","H6","WA.MTH",21,92,"Play"
"58ZA5vGe",6,"HAYDEN","AEEKNNU","6F","KA.",20,79,"Play"
"58ZA5vGe",7,"BasicBot","LLOOQTZ",NA,"-LLOQT",0,92,"Exchange"
"58ZA5vGe",8,"HAYDEN","CEENNOU","G11","CUE",13,92,"Play"
"58ZA5vGe",9,"BasicBot","?COSTWZ","14G","SCOW",23,115,"Play"
"58ZA5vGe",10,"HAYDEN","EENNNOO","15I","NONE",12,104,"Play"
"58ZA5vGe",11,"BasicBot","?IIORTZ","K5","ZI..",29,144,"Play"
"58ZA5vGe",12,"HAYDEN","AEEGNOU","L4","GO",17,121,"Play"
"58ZA5vGe",13,"BasicBot","?FINORT","11D","FIN..",26,170,"Play"
"58ZA5vGe",14,"HAYDEN","AEEINRU","12C","RAN",18,139,"Play"
"58ZA5vGe",15,"BasicBot","?NOPRTU","8G","P.....",17,187,"Play"
"58ZA5vGe",16,"HAYDEN","DEEEIUU","13C","EE",14,153,"Play"
"58ZA5vGe",17,"BasicBot","?NOORTU","5K","..OT",13,200,"Play"
"58ZA5vGe",18,"HAYDEN","DEIISUU","14L","DIE",11,164,"Play"
"58ZA5vGe",19,"BasicBot","?BDNORU","O12","UNDO",24,224,"Play"
"58ZA5vGe",20,"HAYDEN","AAEISUU",NA,"-UU",0,164,"Exchange"
"58ZA5vGe",21,"BasicBot","?BELLPR","3K","BELL",16,240,"Play"
"58ZA5vGe",22,"HAYDEN","AAAEISS","O1","EAS",16,180,"Play"
"58ZA5vGe",23,"BasicBot","?DELOPR","B13","LOP",13,253,"Play"
"58ZA5vGe",24,"HAYDEN","AAINSUU","A14","NU",20,200,"Play"
"58ZA5vGe",25,"BasicBot","??DEIRV","1H","oVERrID.",80,333,"Play"
"58ZA5vGe",26,"HAYDEN","AAAEISU","2F","AUE",6,206,"Play"
"58ZA5vGe",27,"BasicBot","EGJLRRS","F1","J.R",10,343,"Play"
"58ZA5vGe",28,"HAYDEN","AADIQST","10E","QI",29,235,"Play"
"58ZA5vGe",29,"BasicBot","EGIILRS","11J","..GI",8,351,"Play"
"58ZA5vGe",30,"HAYDEN","AADHSTT","10M","AH",15,250,"Play"
"58ZA5vGe",31,"BasicBot","EILRSTV","4A","LIVERS",31,382,"Play"
"58ZA5vGe",32,"HAYDEN","ADORSTT","O7","TADS",21,271,"Play"
"58ZA5vGe",33,"BasicBot","AT","13J","TA",8,390,"Play"
"58ZA5vGe",34,"BasicBot",NA,NA,"(ORT)",6,396,"End"
"zWPY8TcT",1,"BasicBot","ACHIINY","8D","CHAIN",26,26,"Play"
"zWPY8TcT",2,"PeachyJo","AGKMOPU","7E","OAK",30,30,"Play"
"zWPY8TcT",3,"BasicBot","EEISTTY","I4","YETIS",20,46,"Play"
"zWPY8TcT",4,"PeachyJo","DEGMPUW","4I",".UM",8,38,"Play"
"zWPY8TcT",5,"BasicBot","ERRTTTV",NA,"-RTTV",0,46,"Exchange"
"zWPY8TcT",6,"PeachyJo","DEFGNPW","9G","FE",25,63,"Play"
"zWPY8TcT",7,"BasicBot","DENORTV","K4",".OVED",22,68,"Play"
"zWPY8TcT",8,"PeachyJo","DEGNOPW","8K",".OPED",30,93,"Play"
"zWPY8TcT",9,"BasicBot","ABINRTU","N1","URBANIT.",74,142,"Play"
"zWPY8TcT",10,"PeachyJo","EGIJNWW","1M","J.G",33,126,"Play"
"zWPY8TcT",11,"BasicBot","?AAEEIR","M7","A.E",10,152,"Play"
"zWPY8TcT",12,"PeachyJo","AEINRWW","D8",".ARNIE",16,142,"Play"
"zWPY8TcT",13,"BasicBot","?AEEIRZ","11B","ZI.E",26,178,"Play"
"zWPY8TcT",14,"PeachyJo","GLNRSWW","13B","GL.N",10,152,"Play"
"zWPY8TcT",15,"BasicBot","?AACERU","3M","A.",8,186,"Play"
"zWPY8TcT",16,"PeachyJo","BRSSTWW","9L","W.",10,162,"Play"
"zWPY8TcT",17,"BasicBot","?ACEORU","B11",".A.",13,199,"Play"
"zWPY8TcT",18,"PeachyJo","BORSSTW","14B","SOS",45,207,"Play"
"zWPY8TcT",19,"BasicBot","?CEIORU","6A","CURIO",15,214,"Play"
"zWPY8TcT",20,"PeachyJo","BEQRRTW","A6",".REW",27,234,"Play"
"zWPY8TcT",21,"BasicBot","?AEILUX","5N",".U",2,216,"Play"
"zWPY8TcT",22,"PeachyJo","BLOQRTT","10H","BOT",12,246,"Play"
"zWPY8TcT",23,"BasicBot","?AEILTX","C3","EXT.A",26,242,"Play"
"zWPY8TcT",24,"PeachyJo","?DLQRRT","D3","Ti",20,266,"Play"
"zWPY8TcT",25,"BasicBot","?AFGILO","11I","FOG",21,263,"Play"
"zWPY8TcT",26,"PeachyJo","DEILQRR","12J","RIDE",16,282,"Play"
"zWPY8TcT",27,"BasicBot","?AEILNV","B1","LAV",18,281,"Play"
"zWPY8TcT",28,"PeachyJo","DILLQRY","13I","QI",25,307,"Play"
"zWPY8TcT",29,"BasicBot","?EEHIMN","13M","HE",20,301,"Play"
"zWPY8TcT",30,"PeachyJo","DLLRSTY","O13","STY",24,331,"Play"
"zWPY8TcT",31,"BasicBot","?EIMNOP","1A","P.uME",33,334,"Play"
"zWPY8TcT",32,"PeachyJo","DLLNR","15M","DR.",7,338,"Play"
"zWPY8TcT",33,"BasicBot","INO","O8",".INO",5,339,"Play"
"zWPY8TcT",34,"BasicBot",NA,NA,"(LLN)",6,345,"End"
"gXfAEe32",1,"PeachyJo","AEEIIOY","8H","AYE",12,12,"Play"
"gXfAEe32",2,"BasicBot","AADEISV","J8",".AVE",15,15,"Play"
"gXfAEe32",3,"PeachyJo","EIILOOO","7I","OLE",18,30,"Play"
"gXfAEe32",4,"BasicBot","ABCDIST","6G","DISC",36,51,"Play"
"gXfAEe32",5,"PeachyJo","EIIJLOO","K5","JO.",28,58,"Play"
"gXfAEe32",6,"BasicBot","ABEISTT","5E","BAIT",17,68,"Play"
"gXfAEe32",7,"PeachyJo","EEIILOS",NA,"-EIO",0,58,"Exchange"
"gXfAEe32",8,"BasicBot","AEENOST","5K",".OE",10,78,"Play"
"gXfAEe32",9,"PeachyJo","EIIKLRS","12D","SILKIER",86,144,"Play"
"gXfAEe32",10,"BasicBot","AEENSTT","G4","T..E",6,84,"Play"
"gXfAEe32",11,"PeachyJo","BCFIORW","E9","BOR.C",18,162,"Play"
"gXfAEe32",12,"BasicBot","AAENOST","G12",".OA",8,92,"Play"
"gXfAEe32",13,"PeachyJo","?FGILNW","H10","FL.NGs",32,194,"Play"
"gXfAEe32",14,"BasicBot","AEMNRST","F14","MA",22,114,"Play"
"gXfAEe32",15,"PeachyJo","EIINQSW","10H",".I.E",10,204,"Play"
"gXfAEe32",16,"BasicBot","ENRSTUV","M1","REVU.",16,130,"Play"
"gXfAEe32",17,"PeachyJo","?IINQSW","L10","SuQ",33,237,"Play"
"gXfAEe32",18,"BasicBot","DEINSTT","2G","DINETT.S",72,202,"Play"
"gXfAEe32",19,"PeachyJo","EIINOUW","1H","OI",14,251,"Play"
"gXfAEe32",20,"BasicBot","AAEMPRY","N5","YA",21,223,"Play"
"gXfAEe32",21,"PeachyJo","AEINPUW","O6","WEAN",26,277,"Play"
"gXfAEe32",22,"BasicBot","AEFMPRR","F8","REF",31,254,"Play"
"gXfAEe32",23,"PeachyJo","GILNPRU","N8","PURLING",80,357,"Play"
"gXfAEe32",24,"BasicBot","ADMOPRX","10B","PRO..",16,270,"Play"
"gXfAEe32",25,"PeachyJo","AHNOUUZ","12L",".U.Z",32,389,"Play"
"gXfAEe32",26,"BasicBot","ADHMNTX","1M",".AD",14,284,"Play"
"gXfAEe32",27,"PeachyJo","ADEHNOU","O11","A.O",16,405,"Play"
"gXfAEe32",28,"BasicBot","HIMNTWX","K9","H.M",29,313,"Play"
"gXfAEe32",29,"PeachyJo","DEGHNTU","6B","HUGE",20,425,"Play"
"gXfAEe32",30,"BasicBot","INTWX","C5","T.X",18,331,"Play"
"gXfAEe32",31,"PeachyJo","DNT","15E","D.N.",12,437,"Play"
"gXfAEe32",32,"BasicBot","INW","14K","WIN.",8,339,"Play"
"gXfAEe32",33,"BasicBot",NA,NA,"(T)",2,341,"End"
"5idFgRDb",1,"BasicBot","AADEGUZ","8H","GAUZE",32,32,"Play"
"5idFgRDb",2,"PowerCats","DEGIOOV","9G","VOG",21,21,"Play"
"5idFgRDb",3,"BasicBot","ACDDITW","K5","DIT.",28,60,"Play"
"5idFgRDb",4,"PowerCats","DEIINOU","L3","DUI",11,32,"Play"
"5idFgRDb",5,"BasicBot","ACDLOWY","3I","CAD.Y",30,90,"Play"
"5idFgRDb",6,"PowerCats","ABEINOT","2J","BO",23,55,"Play"
"5idFgRDb",7,"BasicBot","?LORRSW","10I","OWLS",19,109,"Play"
"5idFgRDb",8,"PowerCats","AAEEINT","11J","EA",13,68,"Play"
"5idFgRDb",9,"BasicBot","?IORRST","1K","RIOTS",22,131,"Play"
"5idFgRDb",10,"PowerCats","AAEINOT","I2","O.A",10,78,"Play"
"5idFgRDb",11,"BasicBot","?AEERRV","12D","AVERREd",75,206,"Play"
"5idFgRDb",12,"PowerCats","AEIMMNT",NA,"(time)",-10,68,"Timeout"
"AKBsykAW",1,"PowerCats","DFFIKLR","8G","KIFF",28,28,"Play"
"AKBsykAW",2,"BasicBot","ANNSUUW",NA,"-NUUW",0,0,"Exchange"
"AKBsykAW",3,"PowerCats","ADDLLPR","H6","PR.LL",7,35,"Play"
"AKBsykAW",4,"BasicBot","AANOORS","J6","OA.",8,8,"Play"
"AKBsykAW",5,"PowerCats","AAADDEH","K4","DADA",17,52,"Play"
"AKBsykAW",6,"BasicBot","ABENORS","L3","NOB",20,28,"Play"
"AKBsykAW",7,"PowerCats","?AEEHLO","M2","LAH",23,75,"Play"
"AKBsykAW",8,"BasicBot","AENRSSU","F7","US",17,45,"Play"
"AKBsykAW",9,"PowerCats","?EENORT","11G","EsTRONE",69,144,"Play"
"AKBsykAW",10,"BasicBot","ACENRRS","6H",".R..",7,52,"Play"
"AKBsykAW",11,"PowerCats","EGJNOOT","N1","JOG",30,174,"Play"
"AKBsykAW",12,"BasicBot","ACELNRS","O3","SCALER",38,90,"Play"
"AKBsykAW",13,"PowerCats","ENOOSTY","1N",".O",27,201,"Play"
"AKBsykAW",14,"BasicBot","IIIINPU",NA,"-IIIPU",0,90,"Exchange"
"AKBsykAW",15,"PowerCats","EENOSTY","12K","OYE",26,227,"Play"
"AKBsykAW",16,"BasicBot","GIINRTZ","M10","G..Z",28,118,"Play"
"AKBsykAW",17,"PowerCats","EEENOST","N13","EE",15,242,"Play"
"AKBsykAW",18,"BasicBot","IINRTVY","O11","YIN",19,137,"Play"
"AKBsykAW",19,"PowerCats","EEINOST","N7","OE",6,248,"Play"
"AKBsykAW",20,"BasicBot","HIIRTVW","I3","WHI.",14,151,"Play"
"AKBsykAW",21,"PowerCats","EIMNOST","15H","MOISTEN",83,331,"Play"
"AKBsykAW",22,"BasicBot","EIINRTV","H13","VI.",8,159,"Play"
"AKBsykAW",23,"PowerCats","BDEGTUV","6D","VUG",19,350,"Play"
"AKBsykAW",24,"BasicBot","AEIINRT","I11",".I",2,161,"Play"
"AKBsykAW",25,"PowerCats","ABDEPTT","12B","BATTED",21,371,"Play"
"AKBsykAW",26,"BasicBot","AEEINRT","4H","E.",6,167,"Play"
"AKBsykAW",27,"PowerCats","AINPRWX","13A","WAX",48,419,"Play"
"AKBsykAW",28,"BasicBot","AEINRST","A13",".IN",18,185,"Play"
"AKBsykAW",29,"PowerCats","DIMNPRU","E5","D.M",16,435,"Play"
"AKBsykAW",30,"BasicBot","AAEIRST","10L","A.",9,194,"Play"
"AKBsykAW",31,"PowerCats","CINPQRU","14J","QI",64,499,"Play"
"AKBsykAW",32,"BasicBot","AEIRSTT","14A",".T",14,208,"Play"
"AKBsykAW",33,"PowerCats","?CNPRUU","11C","PiU",25,524,"Play"
"AKBsykAW",34,"BasicBot","AEEIRST","D2","STRI.E",26,234,"Play"
"AKBsykAW",35,"PowerCats","CNRU","8A","CURN",32,556,"Play"
"AKBsykAW",36,"PowerCats",NA,NA,"(AE)",4,560,"End"
"tDg4SLtQ",1,"BasicBot","DEEIIUX","8H","EXUDE",28,28,"Play"
"tDg4SLtQ",2,"PeachyJo","AAMNSVW","M8","SWAN",25,25,"Play"
"tDg4SLtQ",3,"BasicBot","AFIIOTU","L10","FIAT",21,49,"Play"
"tDg4SLtQ",4,"PeachyJo","ABEIMOV","K11","BA",20,45,"Play"
"tDg4SLtQ",5,"BasicBot","AEIIOUZ","M13","OI",8,57,"Play"
"tDg4SLtQ",6,"PeachyJo","EEIMOOV","K4","MOVE.",22,67,"Play"
"tDg4SLtQ",7,"BasicBot","AEGIOUZ","4H","GIZ.O",38,95,"Play"
"tDg4SLtQ",8,"PeachyJo","AEEIIOR","7G","IRE",17,84,"Play"
"tDg4SLtQ",9,"BasicBot","AAEETUU",NA,"-AEUU",0,95,"Exchange"
"tDg4SLtQ",10,"PeachyJo","AEIIOOR","6F","ROO",10,94,"Play"
"tDg4SLtQ",11,"BasicBot","ACDEFIT","N12","DEFT",29,124,"Play"
"tDg4SLtQ",12,"PeachyJo","AEIIQSU","H1","QUA.",42,136,"Play"
"tDg4SLtQ",13,"BasicBot","ACCGISU","F2","CIGA.",14,138,"Play"
"tDg4SLtQ",14,"PeachyJo","EIIIOOS","1H",".I",11,147,"Play"
"tDg4SLtQ",15,"BasicBot","CDNNSUW","I3","W.N",19,157,"Play"
"tDg4SLtQ",16,"PeachyJo","EEIIOOS",NA,"-EIO",0,147,"Exchange"
"tDg4SLtQ",17,"BasicBot","BCDENSU","M1","CUBS",34,191,"Play"
"tDg4SLtQ",18,"PeachyJo","AEEIKOS","1L","I.KS",33,180,"Play"
"tDg4SLtQ",19,"BasicBot","DEEGNOY","5D","YE.",12,203,"Play"
